cid,store_hash
15660,6b8c0051437ee0bb982d8e684f03ca34
15663,2ff0cab99ac69148fd65ecbaefeab7c3
15665,cbc50622e2ada48b08a54944e1f449db
15666,acddeafe210d2c65c3e8e08ca8794bdc
15669,96aef5be6ccf874530c8d5ade0173c8c
15670,a32013427b60b415e37ca02abad018b8
15673,8bd1f0b9b1909d589593bedec63e3666
15680,30c617aae0c14b6b58ceecc849536cc5
15681,538d4805b40944048fcf24c6a8607ecb
15713,51942bafc2ccb05c774244d0a777cefb
15733,eb7e09a170711e3e795d6fdb06112ea4
15799,548c4c670e4c2826c8d65769904c3367
15804,a576206a3a2ffe76b6de21cf5109724c
15844,6ca90d49675683be36a63a77032223cc
15858,e827b6b2c3fcc07b6c9ec5418295c64b
15879,e7a03d05c58fbbe8dd11b09cacafe9e5
15941,45fd742f6eaae7d824bdbc1ee1336f7d
15946,d085166baff004ed3c02d4722188149c
15958,e1c15c3d2ce3b0e300ba513daefe6e93
15970,4fd5eb24c83ba6d1a3209cd2a394358a
15983,4b4e298f5d9b2da1f38496c6b41cd991
15991,795a4c2c305ab2c83369f96e2dac9076
16001,c90bba34ba034857a883abe8a35e4cc0
16015,b390f920b8cc37e49317a58dd41b610a
16016,da9d87bc790d539961278693c6e8cdad
16039,2b5c4f93ef5b577c1280a1a3d0c36faa
16043,44cdbe0c289ca5b68f16db322b40579b
16153,f3408880e2d3b0f1a9aa8d35850534bf
16276,3f7c538579a683b687f05b60823549c0
16333,efdb42244950ed162daf3cbdce55654d
16841,d94687c35507722727abfe31b2dfb2cd
16850,602c637a7a16bf2e89b0436cad6b438b
16852,85ea01937a579ea6dd2410ea89c7b4f4
20974,b200c2a13b03e01aa941521a97a33a20
21070,1b37e8954a1c94c222ef7402ce65ae6c
21086,35db13e6ce123cdb2337bd9dad2547f6
21250,c3de40c3182afb595cf6dc96e9c7852b
21252,233d24dff33da7a83bc34f3d0356f3b0
21277,8d04d63fa0f4c234edb991bedbd8e1d4
21759,5eab4885097b6bb64a564db1addebdf2
22014,7b5b9dcebfa0fb8968beba4f6ddc4f33
22150,6662ce3bad143f88e6b7741a76b25648
22443,6a0a7cd35251eeb36229f6a61cb62834
22468,fbc0cbca1b5d4ee967b6672997073c3d
22650,11bc3f33891bf2cc33190bf4fbf4583b
22838,8ca8e3b807baf5156a4a5c79ffe63cf1
22944,a79d64ddcd1c56c18e47392f49bd9d36
23509,9473cc7d04fba4b1b4d282c8d4211a33
23838,0f1006a6e8cdb5b01983ae7ee4394fa9
23882,45b065c5cd46c65261b1c5f4de4ec783
25137,2910f4d7cc0eeac0dd8a3978ec8993f8
25145,ae25d85211ac918c2bf7e5af0119d950
25200,4842b2556fcfac035ffb0d0f1b6b7c4e
